"","X","TPR","OC","p","cov.type","rho","op","n1","n2","det1","det2","sig12"
"140","SDA1-116",0.6615,"gamma",600,"bd-rho",0.8,0.1,400,100,-0.3,0.3,0.05
"141","MOW1-117",0.5627,"gamma",600,"bd-rho",0.9,0.1,400,100,-0.3,0.3,0.05
"142","MDW-117",0.55985,"gamma",600,"bd-rho",0.9,0.1,400,100,-0.3,0.3,0.05
"143","SDA0-117",0.7291,"gamma",600,"bd-rho",0.9,0.1,400,100,-0.3,0.3,0.05
"144","SDA1-117",0.7314,"gamma",600,"bd-rho",0.9,0.1,400,100,-0.3,0.3,0.05
"145","MOW1-1",0.7648,"gaussian",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"146","MDW-1",0.75535,"gaussian",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"147","SDA0-1",0.67535,"gaussian",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"148","SDA1-1",0.66055,"gaussian",600,"ar",0.1,0.1,400,100,-0.3,0.3,0.05
"149","MOW1-11",0.76385,"gaussian",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"150","MDW-11",0.7535,"gaussian",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"151","SDA0-11",0.67395,"gaussian",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"152","SDA1-11",0.6463,"gaussian",600,"bd-rho",0.1,0.1,400,100,-0.3,0.3,0.05
"153","MOW1-12",0.7652,"gaussian",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"154","MDW-12",0.75345,"gaussian",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"155","SDA0-12",0.6775,"gaussian",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
"156","SDA1-12",0.6719,"gaussian",600,"ar",0.2,0.1,400,100,-0.3,0.3,0.05
